MOH Area,PHI Area,PHM Area,GN Area
Akmeemana,Labuduwa,Ihalagoda,Ambagahawila(109E)
Akmeemana,Labuduwa,Ihalagoda,Ihalagoda-West(109)
Akmeemana,Labuduwa,Ihalagoda,Badungoda(109C)
Akmeemana,Labuduwa,Ihalagoda,Badungoda colony109(H)
Akmeemana,Labuduwa,Ganegoda,Thalgasyaya(118A)
Akmeemana,Labuduwa,Ganegoda,Ganegoda-West(118D)
Akmeemana,Labuduwa,Ganegoda,Ganegoda(118)
Akmeemana,Labuduwa,Ganegoda,Niyagama(118B)
Akmeemana,Labuduwa,Ganegoda,Akmeemana(118C)
Akmeemana,Labuduwa,Pinnaduwa,Pinnaduwa(110A)
Akmeemana,Labuduwa,Pinnaduwa,Ihalagoda Colony(109F)
Akmeemana,Labuduwa,Pinnaduwa,Pinnaduwa Colony(110C)
Akmeemana,Hiyare,Ihalagoda-East,Ihalagoda-East(109A)
Akmeemana,Hiyare,Ihalagoda-East,Ihalagoda-South(109B)
Akmeemana,Hiyare,Kadurugashena,Hiyare(s)(155A)
Akmeemana,Hiyare,Kadurugashena,Hiyare(E)(155D)
Akmeemana,Hiyare,Kadurugashena,Kadurugashena(155F)
Akmeemana,Hiyare,Hiyare-1(Atahawla),Ketandola(155C)
Akmeemana,Hiyare,Hiyare-1(Atahawla),Hiyare(N)(155)
Akmeemana,Hiyare,Hiyare-1(Atahawla),Welihena(155G)
Akmeemana,Hiyare,Hiyare-1(Atahawla),Kadahena(155H)
Akmeemana,Hiyare,Hiyare-2( Amalgama),Amalgama(109D)
Akmeemana,Hiyare,Hiyare-2( Amalgama),Etambagasmulla(109G)
Akmeemana,Hiyare,Hiyare-2( Amalgama),Ihala Hiyare(Godadeniya)(155E)
Akmeemana,Walahanduwa,Haliwala,Haliwala(130S)
Akmeemana,Walahanduwa,Haliwala,Kernwila- Colony(130F)
Akmeemana,Walahanduwa,Haliwala,Hinidumgoda(130C)
Akmeemana,Walahanduwa,Bataduwa,Bataduwa(113)
